Column,Layer,TDC_id,TDC_Ch_id,T0[ns],TMax[ns],ADC_peak[ns],ADC_width[ns],Resolution[um],Efficiency
9,2,22,15,284.8793859250115,189.1291220018901,132.06402255977227,19.36472157193372,104.55909588630801,0.9901943145016193
9,3,22,12,288.1940465251315,188.12348564373275,162.70396048832063,26.069098267655406,107.39185317121691,0.9946524064171123
9,4,22,13,288.3023163910084,189.73146593775596,165.92090558147646,25.739202517280823,113.97172842986768,0.9915329768270945
9,5,23,14,278.335183238091,203.57044136337908,144.93087512451106,22.388111809860078,106.23199312982815,0.9924479166666667
9,6,23,15,280.2404397428165,202.7734859375936,163.04927756042287,25.0005710674101,100.17499312030874,0.993877907993703
9,7,23,12,279.253223629373,202.09019017317507,150.6574984137746,24.650686042530822,100.66943627622675,0.9936938493434693
9,8,23,13,276.780995397479,203.590316413089,122.85711436908399,19.17631063113795,108.69565571353813,0.9920137398024903
10,1,22,18,287.4177578240232,192.196686153823,163.94084280874546,25.65730425053134,114.5394292204275,0.9843249020306377
10,2,22,19,287.64283631088307,189.95811037361125,159.08526577056543,24.796572835809414,103.91731936139065,0.990596167494677
10,3,22,16,286.94671152656935,189.20840975325655,157.48933107571042,23.550049349558478,105.11516001590108,0.9927201704545454
10,4,22,17,286.2332251055679,191.93375096842408,151.53390805865882,25.180723956756374,106.90489697911313,0.9919566357754852
10,5,23,18,278.6201622830913,202.36242363474696,139.64900475261922,21.198013278904895,113.07063876022748,0.9922616953921913
10,6,23,19,279.902355300297,202.2421461735981,158.444288278717,23.27318908327689,102.66297847591638,0.9926886587170337
10,7,23,16,280.0032585415066,201.8596586310448,158.44746265524205,23.35987745117515,103.96746936101566,0.9914077417115085
10,8,23,17,279.84853146027825,203.25475474249555,153.55228728596566,23.52474169171009,109.11011337567156,0.9897334138555776
11,1,22,22,285.4457043207985,190.5966779949814,137.8514904674183,21.587820251120505,110.08325373296036,0.983162254637133
11,2,22,23,286.5398077810267,188.65802691871232,140.56185292265462,20.649039714218226,106.67324515626811,0.9889669899457247
11,3,22,20,286.9784186782958,190.495826350416,163.40981959593745,25.811548822310872,101.69706110431059,0.992269173328648
11,4,22,21,288.3725083707887,190.43464496527264,168.59443354725605,25.68460282051494,108.77611638488868,0.9912551894708947
11,5,23,22,278.89132900398687,202.20673801920606,146.92855283570003,22.841093697876715,104.99295035718345,0.9922192749778956
11,6,23,23,280.5483522177488,201.2607086771796,159.55773295631582,22.949077614814257,104.53144678283647,0.993920972644377
11,7,23,20,276.7643024003006,201.57284708918746,126.28087071174808,19.08779265298277,100.18506430259832,0.9922453903153541
11,8,23,21,282.22037586863604,202.54418870592446,185.40011341015804,27.233206964010343,113.03414975822044,0.9911594695681741
12,1,24,2,281.9469356722922,190.6392047946306,127.78505794182999,20.723176711727778,111.08815681692234,0.9810739436619719
12,2,24,3,281.3083208595744,190.95685240940958,132.93683187462076,20.992282872267385,103.2342481303818,0.9909710542621935
12,3,24,0,282.9848044796909,189.2908232376796,145.50405425474787,23.312032761873574,103.85986003294833,0.9930869449614464
12,4,24,1,285.57096015259197,189.26671837554215,178.09188566437223,26.77465856533655,109.93440727141495,0.9910479199578726
12,5,25,2,276.6332057251435,202.91962999421224,132.23573589686623,21.129691762046438,108.5957493882541,0.992552178054906
12,6,25,3,278.4911797642688,203.67071103262532,142.80947704140704,21.52213639915004,103.90171390256958,0.9937322915772302
12,7,25,0,279.79321758407633,202.69437266904634,165.40104911855138,25.286268214938396,98.54256512175247,0.9935891956577485
12,8,25,1,280.8765366880317,202.43693974682895,176.68767129145806,26.065276130298606,106.9475490029696,0.990645463049579
13,1,24,6,284.9073948777638,190.86573269723448,167.32124793292343,26.294774885203747,115.69045888705693,0.9833288276110661
13,2,24,7,282.38172951812413,189.68487677940624,142.39661746260316,21.348903389582524,109.4200948088683,0.9894117647058823
13,3,24,4,282.36157118318556,188.01073093731094,140.4804608947498,21.844134154078887,110.25802658373911,0.9924771628156905
13,4,24,5,282.796289087775,191.24654960128095,147.0087470839231,22.888596287899958,110.07169533810507,0.9927817377966255
13,5,25,6,278.23251183295906,203.0852874463132,138.23608080663314,21.8522730376758,105.18233312524661,0.993422738532502
13,6,25,7,279.60037132584836,204.632410840182,154.89932228620387,23.13709675890822,111.75726568831848,0.9924560651521646
13,7,25,4,279.68372611995005,201.28408019348143,153.20649555951252,23.33302983872855,102.19502506228451,0.9928704803938211
13,8,25,5,281.1495678263249,202.34731661014132,174.17766011727977,25.27741095127802,107.46825786293586,0.989642584260124
14,1,24,10,284.15808732729374,189.05195593489992,149.60968628865723,22.619510892876526,112.7342430273042,0.9799432182434289
14,2,24,11,284.23593059762067,189.47993498837957,152.14690771022634,23.527657676311506,106.18404852391366,0.989073505508398
14,3,24,8,280.9822162753496,189.08674831739467,131.16000906817317,21.49862246041348,110.24840120920334,0.9915528396836808
14,4,24,9,287.37736335558304,190.2199579388634,179.48624037006562,26.058788907528594,125.25898838522795,0.9931409228576519
14,5,25,10,283.71429603421456,202.97224424312031,209.03065048704377,29.47304465151437,115.65551530371627,0.9939553219448095
14,6,25,11,280.49052866793386,201.37861769859808,160.70311265012606,24.523543231767157,101.38986559253118,0.9924288573666348
14,7,25,8,278.1632259288334,201.66524845657966,140.21191030586624,21.747083528889554,103.73081152525334,0.991437467566165
14,8,25,9,278.5805934254521,200.8897253579962,127.7519056648114,19.284288358373477,106.49227621154208,0.9899671337138903
15,1,24,14,283.4670573345382,190.78112361579036,140.93212655616742,22.413285310797473,108.95973406370197,0.9821910415542364
15,2,24,15,284.74183452037573,189.60109182844843,159.5315943682897,23.63667213603,102.0479279740357,0.9887820512820513
15,3,24,12,282.58036012746487,190.5681420399655,139.04691033352094,20.966110841780868,107.29659101675279,0.9935403946553403
15,4,24,13,281.1458615894586,192.83407757514652,135.63017105163098,21.563097280056912,109.57443785589658,0.9921397379912664
15,5,25,14,279.1442703016773,201.9341782136683,140.67135377424586,21.770628182901852,114.99809692325887,0.991190203506299
15,6,25,15,278.6065954531571,203.02079455119838,140.43433191037224,21.328891468474893,103.96933381995916,0.9941084734014902
15,7,25,12,280.4229132364501,201.26566274038498,165.0366925612961,25.04302181648285,104.19360507318612,0.9916644959624902
15,8,25,13,280.0040740045666,202.45321705540903,143.5952180284672,21.71362791153262,112.58334459458963,0.9893235394601981
16,1,24,18,282.2179453673712,190.63679420900695,133.3342942373315,20.025675768244568,110.39869693692384,0.9841624910522548
16,2,24,19,283.3700116310665,188.558646320172,148.66665991985124,22.716748681382207,107.02174460927904,0.9881552196587996
16,3,24,16,284.8248505224812,188.8485707076194,154.84963945133472,24.387585533515633,106.31908278466803,0.9914454537437164
16,4,24,17,286.1041733904038,190.42968448628147,171.40727327596818,26.709725228799016,116.783702285397,0.9934181268344748
16,5,25,18,278.106382310901,202.63717244993677,139.0944148599178,20.447859132083302,107.93055723688816,0.9931583961202044
16,6,25,19,279.6930937592665,201.08904916415878,146.4860484982285,21.580220324924703,109.06203169381297,0.9932668541719936
16,7,25,16,278.5312352526156,202.14829943447126,146.27337431188673,21.71310399918181,102.4794229810688,0.9935680433310765
16,8,25,17,280.8761705884707,202.61498768580321,165.2801926879638,24.42501105283455,109.70868300237038,0.9911384926998059
17,1,24,22,282.58508690825033,191.50423366812805,141.26737988726632,22.397483987748334,112.92944908155225,0.9849099894105189
17,2,24,23,286.83235368154635,188.08135525359546,173.61920714868128,24.661200723560157,107.1093477962919,0.9902582893913665
17,3,24,20,286.476937001602,188.4779733498558,183.14610103986874,28.31898779956823,105.35619421213319,0.992586054721977
17,4,24,21,283.80666088464085,191.21407800775773,156.1216667111521,24.418373341033757,106.58694782379627,0.9932574430823118
